"filename", "language", "JavaScript", "Markdown", "JSON", "PostCSS", "XML", "JavaScript JSX", "HTML", "comment", "blank", "total"
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\socket.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\socketListeners.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 15, 40
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\useAssetsStore.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 8, 26
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\useChatStore.js", "JavaScript", 345, 0, 0, 0, 0, 0, 0, 0, 66, 411
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\useGroupChatStore.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 13, 71
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\userStore.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 1, 10, 36
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\tailwind.config.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 1, 0, 96
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\vercel.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\package-lock.json", "JSON", 0, 0, 1353, 0, 0, 0, 0, 0, 0, 1353
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\package.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\constants\socketEvents.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, -1, 7
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\chat.controller.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\group.controller.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 15, 77
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\message.controller.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 45, 24, 119
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\notification.controller.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 11, 17, 95
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\request.controller.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 28, 24, 106
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\user.controller.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 1, 16, 126
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\chat.model.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\message.model.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\notification.model.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\request.model.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\user.model.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\chat.route.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\group.route.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\message.route.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\notification.route.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\ping.route.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\request.route.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\user.route.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\server.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\ai.service.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 10, 50
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\chat.services.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 14, 12, 66
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\generateOTP.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, 2, 0, 0
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\group.service.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 12, 15, 54
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\message.service.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 33, 36, 188
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\notification.service.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 27, 25, 174
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\request.service.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 26, 42, 198
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\handler\disconnect.handler.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\handler\message.handler.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 1, 29, 129
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\handler\onlineStatus.handler.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\handler\onlineStatusAfterLogin.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\services\group.service.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 7, 5, 34
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\services\message.service.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\utils\getGroupMembers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\utils\getUserGroups.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 6, 15, 59
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\utils\isGroupChat.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\document existance check\message.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\document existance check\request.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\system_design.md", "Markdown", 0, 332, 0, 0, 0, 0, 0, 0, 70, 402
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"Total", "-", 2840, 485, 5850, 8, 2, 6115, 14, 653, 1524, 17491
